# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	input	style	culture
000164	ok	0000000c,00000000,00000000,00000000	  12  	float	en-US
000165	ok	0000000c,00000000,00000000,00000000	  12  	any	invariant
000166	ok	0000000c,00000000,00000000,00000000	  12  	any	en-US
000167	ok	0000000c,00000000,00000000,00000000	  12  	integer	invariant
000168	ok	0000000c,00000000,00000000,00000000	  12  	integer	en-US
000169	ok	0000000c,00000000,00000000,00000000	\t12\t	number	invariant
000170	ok	0000000c,00000000,00000000,00000000	\t12\t	number	en-US
000171	ok	0000000c,00000000,00000000,00000000	\t12\t	float	invariant
000172	ok	0000000c,00000000,00000000,00000000	\t12\t	float	en-US
000173	ok	0000000c,00000000,00000000,00000000	\t12\t	any	invariant
000174	ok	0000000c,00000000,00000000,00000000	\t12\t	any	en-US
000175	ok	0000000c,00000000,00000000,00000000	\t12\t	integer	invariant
000176	ok	0000000c,00000000,00000000,00000000	\t12\t	integer	en-US
000177	ok	0000000c,00000000,00000000,00000000	12 	number	invariant
000178	ok	0000000c,00000000,00000000,00000000	12 	number	en-US
000179	ok	0000000c,00000000,00000000,00000000	12 	float	invariant
000180	ok	0000000c,00000000,00000000,00000000	12 	float	en-US
000181	ok	0000000c,00000000,00000000,00000000	12 	any	invariant
000182	ok	0000000c,00000000,00000000,00000000	12 	any	en-US
000183	ok	0000000c,00000000,00000000,00000000	12 	integer	invariant
000184	ok	0000000c,00000000,00000000,00000000	12 	integer	en-US
000185	ok	0000000c,00000000,00000000,00000000	 12	number	invariant
000186	ok	0000000c,00000000,00000000,00000000	 12	number	en-US
000187	ok	0000000c,00000000,00000000,00000000	 12	float	invariant
000188	ok	0000000c,00000000,00000000,00000000	 12	float	en-US
000189	ok	0000000c,00000000,00000000,00000000	 12	any	invariant
000190	ok	0000000c,00000000,00000000,00000000	 12	any	en-US
000191	ok	0000000c,00000000,00000000,00000000	 12	integer	invariant
000192	ok	0000000c,00000000,00000000,00000000	 12	integer	en-US
000193	format	-	(1.5)	number	invariant
000194	format	-	(1.5)	number	en-US
000195	format	-	(1.5)	float	invariant
000196	format	-	(1.5)	float	en-US
000197	ok	0000000f,00000000,00000000,80010000	(1.5)	any	invariant
000198	ok	0000000f,00000000,00000000,80010000	(1.5)	any	en-US
000199	format	-	(1.5)	integer	invariant
000200	format	-	(1.5)	integer	en-US
000201	ok	0000000f,00000000,00000000,80010000	1.5-	number	invariant
000202	ok	0000000f,00000000,00000000,80010000	1.5-	number	en-US
000203	format	-	1.5-	float	invariant
000204	format	-	1.5-	float	en-US
000205	ok	0000000f,00000000,00000000,80010000	1.5-	any	invariant
000206	ok	0000000f,00000000,00000000,80010000	1.5-	any	en-US
000207	format	-	1.5-	integer	invariant
000208	format	-	1.5-	integer	en-US
000209	ok	0000000f,00000000,00000000,80010000	-1.5	number	invariant
000210	ok	0000000f,00000000,00000000,80010000	-1.5	number	en-US
000211	ok	0000000f,00000000,00000000,80010000	-1.5	float	invariant
000212	ok	0000000f,00000000,00000000,80010000	-1.5	float	en-US
000213	ok	0000000f,00000000,00000000,80010000	-1.5	any	invariant
000214	ok	0000000f,00000000,00000000,80010000	-1.5	any	en-US
000215	format	-	-1.5	integer	invariant
000216	format	-	-1.5	integer	en-US
000217	ok	0000000f,00000000,00000000,00010000	1.5+	number	invariant
000218	ok	0000000f,00000000,00000000,00010000	1.5+	number	en-US
000219	format	-	1.5+	float	invariant
000220	format	-	1.5+	float	en-US
000221	ok	0000000f,00000000,00000000,00010000	1.5+	any	invariant
000222	ok	0000000f,00000000,00000000,00010000	1.5+	any	en-US
000223	format	-	1.5+	integer	invariant
000224	format	-	1.5+	integer	en-US
000225	format	-	$1,234.56	number	invariant
000226	format	-	$1,234.56	number	en-US
000227	format	-	$1,234.56	float	invariant
000228	format	-	$1,234.56	float	en-US
000229	format	-	$1,234.56	any	invariant
000230	ok	0001e240,00000000,00000000,00020000	$1,234.56	any	en-US
000231	format	-	$1,234.56	integer	invariant
000232	format	-	$1,234.56	integer	en-US
000233	format	-	$-1234	number	invariant
000234	format	-	$-1234	number	en-US
000235	format	-	$-1234	float	invariant
000236	format	-	$-1234	float	en-US
000237	format	-	$-1234	any	invariant
000238	ok	000004d2,00000000,00000000,80000000	$-1234	any	en-US
000239	format	-	$-1234	integer	invariant
000240	format	-	$-1234	integer	en-US
000241	format	-	-$1234	number	invariant
000242	format	-	-$1234	number	en-US
000243	format	-	-$1234	float	invariant
000244	format	-	-$1234	float	en-US
000245	format	-	-$1234	any	invariant
000246	ok	000004d2,00000000,00000000,80000000	-$1234	any	en-US
000247	format	-	-$1234	integer	invariant
000248	format	-	-$1234	integer	en-US
000249	format	-	1e5	number	invariant
000250	format	-	1e5	number	en-US
000251	ok	000186a0,00000000,00000000,00000000	1e5	float	invariant
000252	ok	000186a0,00000000,00000000,00000000	1e5	float	en-US
000253	ok	000186a0,00000000,00000000,00000000	1e5	any	invariant
000254	ok	000186a0,00000000,00000000,00000000	1e5	any	en-US
000255	format	-	1e5	integer	invariant
000256	format	-	1e5	integer	en-US
000257	format	-	1E5	number	invariant
000258	format	-	1E5	number	en-US
000259	ok	000186a0,00000000,00000000,00000000	1E5	float	invariant
000260	ok	000186a0,00000000,00000000,00000000	1E5	float	en-US
000261	ok	000186a0,00000000,00000000,00000000	1E5	any	invariant
000262	ok	000186a0,00000000,00000000,00000000	1E5	any	en-US
000263	format	-	1E5	integer	invariant
000264	format	-	1E5	integer	en-US
000265	format	-	1e+5	number	invariant
000266	format	-	1e+5	number	en-US
000267	ok	000186a0,00000000,00000000,00000000	1e+5	float	invariant
000268	ok	000186a0,00000000,00000000,00000000	1e+5	float	en-US
000269	ok	000186a0,00000000,00000000,00000000	1e+5	any	invariant
000270	ok	000186a0,00000000,00000000,00000000	1e+5	any	en-US
000271	format	-	1e+5	integer	invariant
000272	format	-	1e+5	integer	en-US
000273	format	-	1e-5	number	invariant
000274	format	-	1e-5	number	en-US
000275	ok	00000001,00000000,00000000,00050000	1e-5	float	invariant
000276	ok	00000001,00000000,00000000,00050000	1e-5	float	en-US
000277	ok	00000001,00000000,00000000,00050000	1e-5	any	invariant
000278	ok	00000001,00000000,00000000,00050000	1e-5	any	en-US
000279	format	-	1e-5	integer	invariant
000280	format	-	1e-5	integer	en-US
000281	format	-	1E-28	number	invariant
000282	format	-	1E-28	number	en-US
000283	ok	00000001,00000000,00000000,001c0000	1E-28	float	invariant
000284	ok	00000001,00000000,00000000,001c0000	1E-28	float	en-US
000285	ok	00000001,00000000,00000000,001c0000	1E-28	any	invariant
000286	ok	00000001,00000000,00000000,001c0000	1E-28	any	en-US
000287	format	-	1E-28	integer	invariant
000288	format	-	1E-28	integer	en-US
000289	format	-	1e28	number	invariant
000290	format	-	1e28	number	en-US
000291	ok	10000000,3e250261,204fce5e,00000000	1e28	float	invariant
000292	ok	10000000,3e250261,204fce5e,00000000	1e28	float	en-US
000293	ok	10000000,3e250261,204fce5e,00000000	1e28	any	invariant
000294	ok	10000000,3e250261,204fce5e,00000000	1e28	any	en-US
000295	format	-	1e28	integer	invariant
000296	format	-	1e28	integer	en-US
000297	format	-	1e29	number	invariant
000298	format	-	1e29	number	en-US
000299	overflow	-	1e29	float	invariant
000300	overflow	-	1e29	float	en-US
000301	overflow	-	1e29	any	invariant
000302	overflow	-	1e29	any	en-US
000303	format	-	1e29	integer	invariant
000304	format	-	1e29	integer	en-US
000305	format	-	1e-29	number	invariant
000306	format	-	1e-29	number	en-US
000307	ok	00000000,00000000,00000000,001c0000	1e-29	float	invariant
000308	ok	00000000,00000000,00000000,001c0000	1e-29	float	en-US
000309	ok	00000000,00000000,00000000,001c0000	1e-29	any	invariant
000310	ok	00000000,00000000,00000000,001c0000	1e-29	any	en-US
000311	format	-	1e-29	integer	invariant
000312	format	-	1e-29	integer	en-US
000313	format	-	1.5e3	number	invariant
000314	format	-	1.5e3	number	en-US
000315	ok	000005dc,00000000,00000000,00000000	1.5e3	float	invariant
000316	ok	000005dc,00000000,00000000,00000000	1.5e3	float	en-US
000317	ok	000005dc,00000000,00000000,00000000	1.5e3	any	invariant
000318	ok	000005dc,00000000,00000000,00000000	1.5e3	any	en-US
000319	format	-	1.5e3	integer	invariant
000320	format	-	1.5e3	integer	en-US
000321	format	-	-1.5e-3	number	invariant
000322	format	-	-1.5e-3	number	en-US
000323	ok	0000000f,00000000,00000000,80040000	-1.5e-3	float	invariant
000324	ok	0000000f,00000000,00000000,80040000	-1.5e-3	float	en-US
000325	ok	0000000f,00000000,00000000,80040000	-1.5e-3	any	invariant
000326	ok	0000000f,00000000,00000000,80040000	-1.5e-3	any	en-US
000327	format	-	-1.5e-3	integer	invariant
000328	format	-	-1.5e-3	integer	en-US
000329	ok	00000001,00000000,00000000,00000000	0000000000000000000000000000001	number	invariant
000330	ok	00000001,00000000,00000000,00000000	0000000000000000000000000000001	number	en-US
000331	ok	00000001,00000000,00000000,00000000	0000000000000000000000000000001	float	invariant
000332	ok	00000001,00000000,00000000,00000000	0000000000000000000000000000001	float	en-US
000333	ok	00000001,00000000,00000000,00000000	0000000000000000000000000000001	any	invariant
000334	ok	00000001,00000000,00000000,00000000	0000000000000000000000000000001	any	en-US
000335	ok	00000001,00000000,00000000,00000000	0000000000000000000000000000001	integer	invariant
000336	ok	00000001,00000000,00000000,00000000	0000000000000000000000000000001	integer	en-US
000337	ok	10000000,3e250261,204fce5e,001c0000	1.00000000000000000000000000005	number	invariant
000338	ok	10000000,3e250261,204fce5e,001c0000	1.00000000000000000000000000005	number	en-US
000339	ok	10000000,3e250261,204fce5e,001c0000	1.00000000000000000000000000005	float	invariant
000340	ok	10000000,3e250261,204fce5e,001c0000	1.00000000000000000000000000005	float	en-US
000341	ok	10000000,3e250261,204fce5e,001c0000	1.00000000000000000000000000005	any	invariant
000342	ok	10000000,3e250261,204fce5e,001c0000	1.00000000000000000000000000005	any	en-US
000343	format	-	1.00000000000000000000000000005	integer	invariant
000344	format	-	1.00000000000000000000000000005	integer	en-US
000345	ok	10000002,3e250261,204fce5e,001c0000	1.00000000000000000000000000015	number	invariant
000346	ok	10000002,3e250261,204fce5e,001c0000	1.00000000000000000000000000015	number	en-US
000347	ok	10000002,3e250261,204fce5e,001c0000	1.00000000000000000000000000015	float	invariant
000348	ok	10000002,3e250261,204fce5e,001c0000	1.00000000000000000000000000015	float	en-US
000349	ok	10000002,3e250261,204fce5e,001c0000	1.00000000000000000000000000015	any	invariant
000350	ok	10000002,3e250261,204fce5e,001c0000	1.00000000000000000000000000015	any	en-US
000351	format	-	1.00000000000000000000000000015	integer	invariant
000352	format	-	1.00000000000000000000000000015	integer	en-US
000353	ok	88000000,1f128130,1027e72f,001c0000	0.500000000000000000000000000050	number	invariant
000354	ok	88000000,1f128130,1027e72f,001c0000	0.500000000000000000000000000050	number	en-US
000355	ok	88000000,1f128130,1027e72f,001c0000	0.500000000000000000000000000050	float	invariant
000356	ok	88000000,1f128130,1027e72f,001c0000	0.500000000000000000000000000050	float	en-US
000357	ok	88000000,1f128130,1027e72f,001c0000	0.500000000000000000000000000050	any	invariant
000358	ok	88000000,1f128130,1027e72f,001c0000	0.500000000000000000000000000050	any	en-US
000359	format	-	0.500000000000000000000000000050	integer	invariant
000360	format	-	0.500000000000000000000000000050	integer	en-US
000361	format	-	\e	number	invariant
000362	format	-	\e	number	en-US
000363	format	-	\e	float	invariant
000364	format	-	\e	float	en-US
000365	format	-	\e	any	invariant
000366	format	-	\e	any	en-US
000367	format	-	\e	integer	invariant
000368	format	-	\e	integer	en-US
000369	format	-	 	number	invariant
000370	format	-	 	number	en-US
000371	format	-	 	float	invariant
000372	format	-	 	float	en-US
000373	format	-	 	any	invariant
000374	format	-	 	any	en-US
000375	format	-	 	integer	invariant
000376	format	-	 	integer	en-US
000377	format	-	\t	number	invariant
000378	format	-	\t	number	en-US
000379	format	-	\t	float	invariant
000380	format	-	\t	float	en-US
000381	format	-	\t	any	invariant
000382	format	-	\t	any	en-US
000383	format	-	\t	integer	invariant
000384	format	-	\t	integer	en-US
000385	format	-	.	number	invariant
000386	format	-	.	number	en-US
000387	format	-	.	float	invariant
000388	format	-	.	float	en-US
000389	format	-	.	any	invariant
000390	format	-	.	any	en-US
000391	format	-	.	integer	invariant
000392	format	-	.	integer	en-US
000393	format	-	-	number	invariant
000394	format	-	-	number	en-US
000395	format	-	-	float	invariant
000396	format	-	-	float	en-US
000397	format	-	-	any	invariant
000398	format	-	-	any	en-US
000399	format	-	-	integer	invariant
000400	format	-	-	integer	en-US
000401	format	-	+	number	invariant
000402	format	-	+	number	en-US
000403	format	-	+	float	invariant
000404	format	-	+	float	en-US
000405	format	-	+	any	invariant
000406	format	-	+	any	en-US
000407	format	-	+	integer	invariant
000408	format	-	+	integer	en-US
000409	format	-	--1	number	invariant
000410	format	-	--1	number	en-US
000411	format	-	--1	float	invariant
000412	format	-	--1	float	en-US
000413	format	-	--1	any	invariant
000414	format	-	--1	any	en-US
000415	format	-	--1	integer	invariant
000416	format	-	--1	integer	en-US
000417	format	-	1-2	number	invariant
000418	format	-	1-2	number	en-US
000419	format	-	1-2	float	invariant
000420	format	-	1-2	float	en-US
000421	format	-	1-2	any	invariant
000422	format	-	1-2	any	en-US
000423	format	-	1-2	integer	invariant
000424	format	-	1-2	integer	en-US
000425	format	-	1.2.3	number	invariant
000426	format	-	1.2.3	number	en-US
000427	format	-	1.2.3	float	invariant
000428	format	-	1.2.3	float	en-US
000429	format	-	1.2.3	any	invariant
000430	format	-	1.2.3	any	en-US
000431	format	-	1.2.3	integer	invariant
000432	format	-	1.2.3	integer	en-US
000433	format	-	1..2	number	invariant
000434	format	-	1..2	number	en-US
000435	format	-	1..2	float	invariant
000436	format	-	1..2	float	en-US
000437	format	-	1..2	any	invariant
000438	format	-	1..2	any	en-US
000439	format	-	1..2	integer	invariant
000440	format	-	1..2	integer	en-US
000441	format	-	abc	number	invariant
000442	format	-	abc	number	en-US
000443	format	-	abc	float	invariant
000444	format	-	abc	float	en-US
000445	format	-	abc	any	invariant
000446	format	-	abc	any	en-US
000447	format	-	abc	integer	invariant
000448	format	-	abc	integer	en-US
000449	format	-	12abc	number	invariant
000450	format	-	12abc	number	en-US
000451	format	-	12abc	float	invariant
000452	format	-	12abc	float	en-US
000453	format	-	12abc	any	invariant
000454	format	-	12abc	any	en-US
000455	format	-	12abc	integer	invariant
000456	format	-	12abc	integer	en-US
000457	format	-	ysaidufljasdf	number	invariant
000458	format	-	ysaidufljasdf	number	en-US
000459	format	-	ysaidufljasdf	float	invariant
000460	format	-	ysaidufljasdf	float	en-US
000461	format	-	ysaidufljasdf	any	invariant
000462	format	-	ysaidufljasdf	any	en-US
000463	format	-	ysaidufljasdf	integer	invariant
000464	format	-	ysaidufljasdf	integer	en-US
000465	format	-	0x10	number	invariant
000466	format	-	0x10	number	en-US
000467	format	-	0x10	float	invariant
000468	format	-	0x10	float	en-US
000469	format	-	0x10	any	invariant
000470	format	-	0x10	any	en-US
000471	format	-	0x10	integer	invariant
000472	format	-	0x10	integer	en-US
000473	format	-	1_000	number	invariant
000474	format	-	1_000	number	en-US
000475	format	-	1_000	float	invariant
000476	format	-	1_000	float	en-US
000477	format	-	1_000	any	invariant
000478	format	-	1_000	any	en-US
000479	format	-	1_000	integer	invariant
000480	format	-	1_000	integer	en-US
000481	format	-	NaN	number	invariant
000482	format	-	NaN	number	en-US
000483	format	-	NaN	float	invariant
000484	format	-	NaN	float	en-US
000485	format	-	NaN	any	invariant
000486	format	-	NaN	any	en-US
000487	format	-	NaN	integer	invariant
000488	format	-	NaN	integer	en-US
000489	format	-	Infinity	number	invariant
000490	format	-	Infinity	number	en-US
000491	format	-	Infinity	float	invariant
000492	format	-	Infinity	float	en-US
000493	format	-	Infinity	any	invariant
000494	format	-	Infinity	any	en-US
000495	format	-	Infinity	integer	invariant
000496	format	-	Infinity	integer	en-US
000497	format	-	-Infinity	number	invariant
000498	format	-	-Infinity	number	en-US
000499	format	-	-Infinity	float	invariant
000500	format	-	-Infinity	float	en-US
000501	format	-	-Infinity	any	invariant
000502	format	-	-Infinity	any	en-US
000503	format	-	-Infinity	integer	invariant
000504	format	-	-Infinity	integer	en-US
000505	format	-	1e	number	invariant
000506	format	-	1e	number	en-US
000507	format	-	1e	float	invariant
000508	format	-	1e	float	en-US
000509	format	-	1e	any	invariant
000510	format	-	1e	any	en-US
000511	format	-	1e	integer	invariant
000512	format	-	1e	integer	en-US
000513	format	-	e5	number	invariant
000514	format	-	e5	number	en-US
000515	format	-	e5	float	invariant
000516	format	-	e5	float	en-US
000517	format	-	e5	any	invariant
000518	format	-	e5	any	en-US
000519	format	-	e5	integer	invariant
000520	format	-	e5	integer	en-US
000521	format	-	1e+	number	invariant
000522	format	-	1e+	number	en-US
000523	format	-	1e+	float	invariant
000524	format	-	1e+	float	en-US
000525	format	-	1e+	any	invariant
000526	format	-	1e+	any	en-US
000527	format	-	1e+	integer	invariant
000528	format	-	1e+	integer	en-US
000529	format	-	1e999999	number	invariant
000530	format	-	1e999999	number	en-US
000531	overflow	-	1e999999	float	invariant
000532	overflow	-	1e999999	float	en-US
000533	overflow	-	1e999999	any	invariant
000534	overflow	-	1e999999	any	en-US
